Old_3_1_10,33000001,5622637
Old_3_1_10,32999994,5622344
Old_3_1_10,33000000,5622097
Old_3_1_10,330000,56276
Old_3_1_10,329999,56299
Old_3_7_100,329997,38354
Old_3_7_100,330001,38586
Old_3_7_100,329995,38547
Old_3_7_100,329999,38406
Old_3_7_100,329991,38507
Old_3_7_100,329992,38519
Old_3_7_100,329994,38501
Old_3_7_100,329994,38423
Old_3_7_100,329994,38478
Old_3_7_100,330000,38458
Old_3_7_100,330000,38518
Old_3_7_100,99997,11593
Old_3_7_100,99996,11662
Old_3_7_100,100000,11710
Old_3_7_100,100000,11652
Old_3_7_100,100001,11649
Old_3_7_100,100001,11645
Old_3_7_100,99997,11613
Old_3_7_100,99998,11670
Old_3_7_100,99999,11696
Old_3_7_100,99992,11644
Old_3_7_100,100001,11695
Old_3_7_100,99996,11628
Old_3_7_100,99999,11593
Old_3_7_100,99997,11700
Old_3_7_100,99995,11696
Old_3_7_100,100000,11654
Old_3_7_100,99993,11706
Old_3_7_100,99998,11635
Old_3_7_100,99992,11632
Old_3_7_100,99999,11631
Old_3_7_100,99999,11679
Old_3_7_100,9995,1167
Old_3_7_100,99997,11677
Old_3_7_100,999997,116706
Old_3_7_100,9999998,1167149
Old_3_7_100,9999999,1166509
Old_3_7_100,9999997,1166780
Old_3_7_100,999995,116649
Old_3_7_100,999994,116580
Old_3_7_100,1000001,116665
Old_3_7_100,999993,116694
Old_3_7_100,1000000,116707
Old_3_7_100,999989,112678
3_1_10,96,16
3_1_10,10000,1710
3_1_10,100000,17018
3_1_10,999999,170117
3_1_10,329995,56237
3_7_100,329995,38460
3_1_9,330000,59219
4_7_365,329978,10023
4_7_365,330001,10055
4_7_365,329981,10039
4_7_365,13200000,400920
4_7_365,109970,3361
4_7_365,109990,3346
4_7_365,109974,3359
4_0_52,109999,2359
4_1_52,109998,4314
